,SPY US Equity,CDX HY CDSI GEN 5Y Corp
12/29/06,141.62,#N/A N/A
1/31/07,143.75,#N/A N/A
2/28/07,140.93,#N/A N/A
3/30/07,142,#N/A N/A
4/30/07,148.29,#N/A N/A
5/31/07,153.32,#N/A N/A
6/29/07,150.43,#N/A N/A
7/31/07,145.72,#N/A N/A
8/31/07,147.59,#N/A N/A
9/28/07,152.58,#N/A N/A
10/31/07,154.65,#N/A N/A
11/30/07,148.66,#N/A N/A
12/31/07,146.21,#N/A N/A
1/31/08,137.37,#N/A N/A
2/29/08,133.82,#N/A N/A
3/31/08,131.97,#N/A N/A
4/30/08,138.26,#N/A N/A
5/30/08,140.35,#N/A N/A
6/30/08,127.98,#N/A N/A
7/31/08,126.83,#N/A N/A
8/29/08,128.79,#N/A N/A
9/30/08,115.99,#N/A N/A
10/31/08,96.83,#N/A N/A
11/28/08,90.09,#N/A N/A
12/31/08,90.24,#N/A N/A
1/30/09,82.83,#N/A N/A
2/27/09,73.93,#N/A N/A
3/31/09,79.52,#N/A N/A
4/30/09,87.42,#N/A N/A
5/29/09,92.53,#N/A N/A
6/30/09,91.95,#N/A N/A
7/31/09,98.81,#N/A N/A
8/31/09,102.46,#N/A N/A
9/30/09,105.59,#N/A N/A
10/30/09,103.56,#N/A N/A
11/30/09,109.94,#N/A N/A
12/31/09,111.44,#N/A N/A
1/29/10,107.39,#N/A N/A
2/26/10,110.74,#N/A N/A
3/31/10,117,#N/A N/A
4/30/10,118.8125,#N/A N/A
5/31/10,109.369,#N/A N/A
6/30/10,103.22,#N/A N/A
7/30/10,110.27,#N/A N/A
8/31/10,105.31,#N/A N/A
9/30/10,114.13,#N/A N/A
10/29/10,118.49,#N/A N/A
11/30/10,118.4925,#N/A N/A
12/31/10,125.75,#N/A N/A
1/31/11,128.68,#N/A N/A
2/28/11,133.15,#N/A N/A
3/31/11,132.59,#N/A N/A
4/29/11,136.43,#N/A N/A
5/31/11,134.9,#N/A N/A
6/30/11,131.97,#N/A N/A
7/29/11,129.33,#N/A N/A
8/31/11,122.22,#N/A N/A
9/30/11,113.15,87.938
10/31/11,125.5,94
11/30/11,124.99,91.563
12/30/11,125.5,92.938
1/31/12,131.32,97.375
2/29/12,137.02,97.982
3/30/12,140.81,96.875
4/30/12,139.87,96.907
5/31/12,131.47,92.625
6/29/12,136.105,96.438
7/31/12,137.71,96.782
8/31/12,141.16,98.282
9/28/12,143.97,99.844
10/31/12,141.35,99.094
11/30/12,142.155,100.001
12/31/12,142.41,100.656
1/31/13,149.7,102.251
2/28/13,151.61,102.466
3/29/13,156.67,103.126
4/30/13,159.68,106.218
5/31/13,163.445,104.813
6/28/13,160.42,102.75
7/31/13,168.71,105.532
8/30/13,163.65,103.875
9/30/13,168.01,104.501
10/31/13,175.79,106.531
11/29/13,181,107.094
12/31/13,184.69,108.501
1/31/14,178.18,106.435
2/28/14,186.29,108.061
3/31/14,187.01,107.465
4/30/14,188.31,107.019
5/30/14,192.68,108.368
6/30/14,195.72,108.672
7/31/14,193.09,106.685
8/29/14,200.71,108.04
9/30/14,197.02,106.014
10/31/14,201.66,106.94
11/28/14,207.2,107.531
12/31/14,205.54,106.141
1/30/15,199.45,105.49
2/27/15,210.66,107.606
3/31/15,206.43,107.14
4/30/15,208.46,107.151
5/29/15,211.14,107.1
6/30/15,205.85,106.251
7/31/15,210.5,106.225
8/31/15,197.67,104.45
9/30/15,191.63,99.775
10/30/15,207.93,103.17
11/30/15,208.69,102.073
12/31/15,203.87,101.243
1/29/16,193.7208,99.689
2/29/16,193.56,99.15
3/31/16,205.52,102.73
4/29/16,206.3308,102.911
5/31/16,209.84,102.768
6/30/16,209.475,103.202
7/29/16,217.12,104.445
8/31/16,217.38,104.421
9/30/16,216.3,104.39
10/31/16,212.55,103.35
11/30/16,220.38,104.792
12/30/16,223.53,106.198
1/31/17,227.53,106.303
2/28/17,236.47,107.678
3/31/17,235.74,107.185
4/28/17,238.08,107.655
5/31/17,241.44,107.526
6/30/17,241.8,106.906
7/31/17,246.77,107.634
8/31/17,247.49,107.286
9/29/17,251.23,107.836
10/31/17,257.15,108.41
11/30/17,265.01,107.885
12/29/17,266.86,108.31
1/31/18,281.9,108.347
2/28/18,271.65,106.754
3/30/18,263.15,106.053
4/30/18,264.51,106.938
5/31/18,270.94,106.215
6/29/18,271.28,105.76
7/31/18,281.33,107.077
8/31/18,290.31,106.912
9/28/18,290.72,107.335
10/31/18,270.63,105.26
11/30/18,275.65,104.446
12/31/18,249.92,102.055
1/31/19,269.93,106.07
2/28/19,278.68,106.202
3/29/19,282.48,106.635
4/30/19,294.02,107.69
5/31/19,275.27,104.527
6/28/19,293,107.635
7/31/19,297.43,107.351
8/30/19,292.45,106.711
9/30/19,296.77,106.705
10/31/19,303.33,107.187
11/29/19,314.31,107.644
12/31/19,321.86,109.646
1/31/20,321.73,108.398
2/28/20,296.26,105.46
3/31/20,257.75,93.535
4/30/20,290.48,94.814
5/29/20,304.32,98.324